MEASSITEHASH , EQENTRYID , MEASVALUE , ISVALIDFLAG , CHANNEL , USERCR , USERED , CREATETIME , EDITTIME , UNKNOWN_2302 , 19272 , 000100 , T , None , vanyash , vanyash , 2018-04-27 11:58:46 , 2018-09-17 16:59:52 ,
UNKNOWN_129467 , 29084 , 1000231 , T , None , vanyash , vanyash , 2018-07-15 08:59:27 , 2018-09-17 17:00:00 ,
UNKNOWN_130573 , 29085 , 1000234 , T , None , vanyash , vanyash , 2018-07-15 09:04:51 , 2018-09-17 17:00:01 ,
UNKNOWN_131699 , 29086 , 1000235 , T , None , vanyash , vanyash , 2018-07-15 09:10:14 , 2018-09-17 17:00:01 ,
UNKNOWN_132823 , 29087 , 1000236 , T , None , vanyash , vanyash , 2018-07-15 09:15:41 , 2018-09-17 17:00:01 ,
UNKNOWN_136206 , 29090 , 1000241 , T , None , vanyash , vanyash , 2018-07-15 09:31:24 , 2018-09-17 17:00:01 ,
UNKNOWN_137396 , 29091 , 1000244 , T , None , vanyash , vanyash , 2018-07-15 09:36:49 , 2018-09-17 17:00:01 ,
UNKNOWN_133952 , 29088 , 1000237 , T , None , vanyash , vanyash , 2018-07-15 09:20:57 , 2018-09-17 17:00:01 ,
UNKNOWN_135078 , 29089 , 1000238 , T , None , vanyash , vanyash , 2018-07-15 09:26:09 , 2018-09-17 17:00:01 ,
UNKNOWN_138514 , 29092 , 1000245 , T , None , vanyash , vanyash , 2018-07-15 09:41:47 , 2018-09-17 17:00:01 ,
UNKNOWN_139704 , 29093 , 1000246 , T , None , vanyash , vanyash , 2018-07-15 09:46:50 , 2018-09-17 17:00:01 ,
UNKNOWN_140894 , 29094 , 1000247 , T , None , vanyash , vanyash , 2018-07-15 09:51:53 , 2018-09-17 17:00:01 ,
UNKNOWN_145466 , 29098 , 1000252 , T , None , vanyash , vanyash , 2018-07-15 10:10:32 , 2018-09-17 17:00:02 ,
UNKNOWN_142021 , 29095 , 1000248 , T , None , vanyash , vanyash , 2018-07-15 09:56:39 , 2018-09-17 17:00:02 ,
UNKNOWN_143148 , 29096 , 1000250 , T , None , vanyash , vanyash , 2018-07-15 10:01:16 , 2018-09-17 17:00:02 ,
UNKNOWN_144276 , 29097 , 1000251 , T , None , vanyash , vanyash , 2018-07-15 10:05:46 , 2018-09-17 17:00:02 ,
UNKNOWN_146655 , 29099 , 1000253 , T , None , vanyash , vanyash , 2018-07-15 10:15:08 , 2018-09-17 17:00:02 ,
UNKNOWN_147783 , 29100 , 1000254 , T , None , vanyash , vanyash , 2018-07-15 10:19:32 , 2018-09-17 17:00:02 ,
UNKNOWN_148913 , 29101 , 1000257 , T , None , vanyash , vanyash , 2018-07-15 10:23:44 , 2018-09-17 17:00:02 ,
UNKNOWN_150042 , 29102 , 1000260 , T , None , vanyash , vanyash , 2018-07-15 10:27:51 , 2018-09-17 17:00:02 ,
